id,name,description
210287,上海鼎晖达焱创业投资中心(有限合伙),这是一个基金产品
210288,鹏华中证500指数证券投资基金,这是一个基金产品
210289,大成高鑫股票型证券投资基金,这是一个基金产品
210290,允泰盈富证券投资基金,这是一个基金产品
210291,百瑞恒益52 号,这是一个基金产品
210292,客户资金,这是一个基金产品
210293,慧智投资49号结构化集合资金信托计划,这是一个基金产品
210294,中国邮政储蓄银行有限责任公司—万家添利分级债券型证券投资基金,这是一个基金产品
210295,上证新兴产业交易型开放式指数证券投资基金,这是一个基金产品
210296,道明1号私募证券投资基金,这是一个基金产品
210297,鸿顺和天赐68号私募证券投资基金,这是一个基金产品
210298,蓝海汇金私募投资基金,这是一个基金产品
210299,隆慧长高私募证券投资基金,这是一个基金产品
210300,BANQUE INT.A LUXEMBOURG S/A HSBC GLOBAL INV. FUNDS CHINESE EQUITY,这是一个基金产品
210301,诺安股票型证券投资基金,这是一个基金产品
210302,中航信托·中金财富【116】号家族信托,这是一个基金产品
210303,道冲ETF套利稳增证券投资集合资金信托计划,这是一个基金产品
210304,宏源证券股份有限公司自营账户,这是一个基金产品
210305,英大灵活配置混合型发起式证券投资基金,这是一个基金产品
210306,6),这是一个基金产品
210307,递归星火证券私募基金,这是一个基金产品
210308,通宝4号集合资产管理计划,这是一个基金产品
210309,稳健成长1号私募证券投资基金,这是一个基金产品
210310,承辉宏2号分级资产管理计划,这是一个基金产品
210311,景宏基金,这是一个基金产品
210312,中国建设银行—华夏红利混合型开放式证券投资基金,这是一个基金产品
210313,广发恒定27号集合资产管理计划,这是一个基金产品
210314,国寿财富东能壹号集合资产管理计划,这是一个基金产品
210315,星辰38号事务管理类单一资金信托,这是一个基金产品
210316,RABO (ASIA) LTD,这是一个基金产品
210317,顺发恒业股份公司回购专用证券账户,这是一个基金产品
210318,方正东亚信托有限责任公司,这是一个基金产品
210319,青岛康普顿科技股份有限公司回购专用证券账户,这是一个基金产品
210320,未来资产中国A股股票型母投资信托,这是一个基金产品
210321,天力拓一号集合资金信托,这是一个基金产品
210322,中行海富通收益增长证券投资基金,这是一个基金产品
210323,涌津涌鑫39号私募证券投资基金,这是一个基金产品
210324,菁英时代领航1号私募证券投资基金,这是一个基金产品
210325,长安信托·北信财富尊享8号定增集合资金信托计划,这是一个基金产品
210326,辉煌1011号单一资金信托,这是一个基金产品
210327,中信证券股份有限公司融券专用证券账户,这是一个基金产品
210328,中长期事业合伙人持股计划之第三期持股计划,这是一个基金产品
210329,中海优质成长证券基金,这是一个基金产品
210330,东方27号私募投资基金,这是一个基金产品
210331,金谷·招金2号证券投资集合资金信托计划,这是一个基金产品
210332,七王瑞德4号私募投资基金,这是一个基金产品
210333,安信基金共赢23号资产管理计划,这是一个基金产品
210334,量宇冠一五号私募证券基金,这是一个基金产品
210335,弘扬道子天地一号私募证券投资基金,这是一个基金产品
210336,长安信托·民生创盈6号(长安投资413号)分层式集合,这是一个基金产品
210337,北京浩蓝铁马投资管理中心(有限合伙),这是一个基金产品
210338,银河期货中胜4号资产管理计划,这是一个基金产品
210339,永安2号特定客户资产管理计划,这是一个基金产品
210340,恒天清和泉一期证券投资基金,这是一个基金产品
210341,齐熙和谐进取私募证券投资基金,这是一个基金产品
210342,天业1号资产管理计划,这是一个基金产品
210343,泽丰稳健3号私募证券投资基金,这是一个基金产品
210344,瑞聚8号单一资金信托,这是一个基金产品
210345,MartinCurrie InvestmentManagement Limited,这是一个基金产品
210346,展博新经济1号基金,这是一个基金产品
210347,成恩灏岭1号私募证券投资基金,这是一个基金产品
210348,光证资管众享添利中核钛白成长分级集合资产管理计划,这是一个基金产品
210349,舟山天沐投资管理中心(有限合伙),这是一个基金产品
210350,壹诺千金二号私募证券投资基金,这是一个基金产品
210351,融通鑫新成长混合型证券投资基金,这是一个基金产品
210352,大橡塑定增1号资产管理计划,这是一个基金产品
210353,正合智远2号私募证券投资基金,这是一个基金产品
210354,大成优势企业混合型证券投资基金,这是一个基金产品
210355,中国工商银行股份有限公司—易方达上证中盘交易型开放式指数证券投资基金,这是一个基金产品
210356,广发研究精选股票型证券投资基金,这是一个基金产品
210357,兴证资管阿尔法科睿96号单一资产管理计划,这是一个基金产品
210358,鹏华资产汇富5号资产管理计划,这是一个基金产品
210359,木铎金声1号基金,这是一个基金产品
210360," GOLDMA N, SAC HS & C O.LLC",这是一个基金产品
210361,秋晟资产启航3号私募投资基金,这是一个基金产品
210362,证券行业支持民企发展系列之国海创新1号私募股权投资基金,这是一个基金产品
210363,美世投资基金1,这是一个基金产品
210364,兴业趋势投资混合型证券投资基金(LOF),这是一个基金产品
210365,汇添富医疗服务灵活配置混合型证券投资基金,这是一个基金产品
210366,慎知2号私募证券投资基金,这是一个基金产品
210367,博阳创富2号集合资金信托计划,这是一个基金产品
210368,中欧盛世博恩晋源1号资产管理计划,这是一个基金产品
210369,中国龙资本市场集合资金信托计划,这是一个基金产品
210370,复远复兴一号私募证券投资基金,这是一个基金产品
210371,优瑞1期集合资金信托计划,这是一个基金产品
210372,中国工商银行股份有限公司—银华成长先锋混合型证券投资基金,这是一个基金产品
210373,长江资管星耀科力汽车员工参与创业板战略配售集合资产管理计划,这是一个基金产品
210374,倚天1号结构化证券投资集合资金信托计划,这是一个基金产品
210375,泰达宏利定向增发鸿蒙1号资产管理计划,这是一个基金产品
210376,广发基金国寿股份均衡股票传统可供出售单一资产管理计划,这是一个基金产品
210377,泽盈1号证券投资基金,这是一个基金产品
210378,2号(第六期)集合资金信托计划(网下配售资格截至2012年4月10日),这是一个基金产品
210379,江信基金—光大银行—江信基金聚财68号资产管理计划,这是一个基金产品
210380,北京隆慧投资有限公司一隆慧汇晨战略投资私募证券投资基金,这是一个基金产品
210381,华鑫信托·华昇60号集合资金信托计划,这是一个基金产品
210382,方正东亚·恒升20号证券投资集合资金信托计划,这是一个基金产品
210383,卓越枫叶13号资产管理产品,这是一个基金产品
210384,从容成长1期,这是一个基金产品
210385, DEUTSCHE INVEST I CHINESE EQUITIES,这是一个基金产品
210386,高毅任昊优选致福私募证券投资基金,这是一个基金产品
210387,博时精选股票证券投资基金,这是一个基金产品
210388,垒土崆峒8期私募证券投资基金,这是一个基金产品
210389,方正东亚·神龙6号鼎金博拓1期证券投资集合资金信托计划,这是一个基金产品
210390,富锦7号信托计划,这是一个基金产品
210391,光大保德信中国制造202灵活配置混合型证券投资基金,这是一个基金产品
210392,国通信托·紫金6号集合资金信托计划,这是一个基金产品
210393,红土创新红石2号资产管理计划,这是一个基金产品
210394,红塔红土创新1号单一资产管理计划,这是一个基金产品
210395,浙商一号新型结构化证券投资集合资金信托,这是一个基金产品
210396,盈升金衍同丰6号私募投资基金,这是一个基金产品
210397,汇丰晋信科技先锋股票型证券投资基金,这是一个基金产品
210398,“华宝丰进”17号单一资金信托,这是一个基金产品
210399,太平行业优选股票型证券投资基金,这是一个基金产品
210400,上海胡桐投资中心(有限合伙),这是一个基金产品
210401,北方国际信托股份有限公司盈阳六号证券投资单一资金信托,这是一个基金产品
210402,华夏3年封闭运作战略配售灵活配置混合型证券投资基金,这是一个基金产品
210403,民生加银鑫牛定向增发35号资产管理计划,这是一个基金产品
210404,中信盈时双融盈资产管理计划,这是一个基金产品
210405,巴沃量化增强2号基金,这是一个基金产品
210406,中国农业银行—中邮核心优势灵活配置混合型证券投资基金,这是一个基金产品
210407,宝盈国家安全战略沪港深股票型证券投资基金,这是一个基金产品
210408,交银施罗德主题优选灵活配置混合型证券投资基金,这是一个基金产品
210409,玄元科新152号私募证券投资基金,这是一个基金产品
210410,凯石基金飞跃二号单一资产管理计划,这是一个基金产品
210411,华商动态阿尔法灵活配混合型证券投资基金,这是一个基金产品
210412,爱嘉专项基金,这是一个基金产品
210413,陕国投·盛唐25号定向投资集合资金信托计划,这是一个基金产品
210414,冠丰天星一号私募证券投资基金,这是一个基金产品
210415,中信证券红利价值股票资产管理计划,这是一个基金产品
210416,联创电子员工持股计划集合资金信托计划,这是一个基金产品
210417,恒胜新动力分级1号资产管理计划,这是一个基金产品
210418,善思君汉2号私募证券投资基金,这是一个基金产品
210419,融通资本融腾11号,这是一个基金产品
210420,瞰金63号单一资金信托,这是一个基金产品
210421,宏信证券有限责任公司客户信用交易担保证券账户,这是一个基金产品
210422,1集合资金信托计划,这是一个基金产品
210423,嘉实主题新动力混合型证券投资基金,这是一个基金产品
210424,广发证券朗姿1号定向资产管理计划,这是一个基金产品
210425,陆家嘴信托·畅享1号单一资金信托,这是一个基金产品
210426,泽鼎福虹财富证券投资集合资金信托计划,这是一个基金产品
210427,陕国投·乐盈28号单一资金信托,这是一个基金产品
210428,诺安优选回报灵活配置混合型证券投资基金,这是一个基金产品
210429,盛锦41号集合资金信托计划,这是一个基金产品
210430,中信实业银行──招商优质成长股票型证券投资基金,这是一个基金产品
210431,万家公用事业行业股票型证券投资基金,这是一个基金产品
210432,华商核心引力混合型证券投资基金,这是一个基金产品
210433,融创未来资产管理计划,这是一个基金产品
210434,广州岭南集团控股股份有限公司第一期员工持股计划,这是一个基金产品
210435,兴业趋势投资混和型证券投资基金,这是一个基金产品
210436,武汉武商集团股份有限公司—第一期员工持股计划,这是一个基金产品
210437,北京君成朱红一号私募证券投资基金,这是一个基金产品
210438,中重科技(天津)股份有限公司回购专用证券账户,这是一个基金产品
210439,资产配置B信托,这是一个基金产品
210440,红塔红土鑫益1号单一资产管理计划,这是一个基金产品
210441,汇赢通60号单一资金信托,这是一个基金产品
210442,铜陵精达特种电磁线股份有限公司回购专用证券账户,这是一个基金产品
210443,大成科技消费股票型证券投资基金,这是一个基金产品
210444,聆达集团股份有限公司回购专用证券账户,这是一个基金产品
210445,平安财富·创赢一期140号集合资金信托计划,这是一个基金产品
210446,五矿经易博萃二号资产管理计划,这是一个基金产品
210447,大刚麒圣启航3期私募证券投资基金,这是一个基金产品
210448,天弘定增88号资产管理计划,这是一个基金产品
210449,喜世润合润6号私募证券投资基金,这是一个基金产品
210450,新余东证广致投资管理中心(有限合伙),这是一个基金产品
210451,鹏华资产金润23号资产管理计划,这是一个基金产品
210452,华安精致生活混合型证券投资基金,这是一个基金产品
210453,嘉实沪深300 指数证券投资基金,这是一个基金产品
210454,华润信托·运晟13号集合资金信托计划,这是一个基金产品
210455,东方红7号集合资产管理计划,这是一个基金产品
210456,一村基石13号私募证券投资基金,这是一个基金产品
210457,685号证券投资集合资金信托计划,这是一个基金产品
210458,兴全定增85号分级特定多客户资产管理计划,这是一个基金产品
210459,华安新动力灵活配置混合型证券投资基金,这是一个基金产品
210460,河南中鑫债转股私募股权投资基金(有限合伙),这是一个基金产品
210461,富国基金国寿股份成长股票型组合单一资产管理计划,这是一个基金产品
210462,诺安安鑫保本混合型证券投资基金,这是一个基金产品
210463,2016年中诚信托万乘1号证券投资单一资金信托,这是一个基金产品
210464,招商银行股份有限公司–上证红利交易型开放式指数证券投资基金,这是一个基金产品
210465,中信证券红利价值一年持有混合集合资产管理计划,这是一个基金产品
210466,中国银行—易方达稳健收益债券型证券投资基金,这是一个基金产品
210467,孚日集团股份有限公司回购专用证券账户,这是一个基金产品
210468,汇添富品牌驱动六个月持有期混合型证券投资基金,这是一个基金产品
210469,广发资管晴天1号集合资产管理计划,这是一个基金产品
210470,鼎富6号单一资金信托,这是一个基金产品
210471,西部利得成长精选灵活配置混合型证券投资基金,这是一个基金产品
210472,华宝兴业基金,这是一个基金产品
210473,保利来,这是一个基金产品
210474,苏州西典新能源电气股份有限公司回购专用证券账户,这是一个基金产品
210475,宝盈金股46号特定多客户资产管理计划,这是一个基金产品
210476,外贸信托·旭阳1号单一资金信托,这是一个基金产品
210477,国金证券股份有限公司约定购回专用账户,这是一个基金产品
210478,泰康新锐成长混合型证券投资基金,这是一个基金产品
210479,宝钢集团有限公司钢铁业企业年金计划,这是一个基金产品
210480,红塔证券股份有限公司自营账户,这是一个基金产品
210481,中乾景隆四期资产管理计划,这是一个基金产品
210482,招行新股6,这是一个基金产品
210483,进化论稳进一号证券投资基金,这是一个基金产品
210484,兴证资管鑫众翰博高新1号员工持股单一资产管理计划,这是一个基金产品
210485,华泰紫金2号集合资产管理计划,这是一个基金产品
210486,普天收益证券投资基金,这是一个基金产品
210487,社保基金2005组合,这是一个基金产品
210488,团体分红,这是一个基金产品
210489,睿赢79号单一资金信托,这是一个基金产品
210490,荷兰银行有限公司,这是一个基金产品
210491,116号单一资金信托,这是一个基金产品
210492,证券行业支持民企发展系列之富诚海富通海富五号集合资产管理计划,这是一个基金产品
210493,富国新兴产业股票型证券投资基金,这是一个基金产品
210494,安瑜腾飞1号私募证券投资基金,这是一个基金产品
210495,珠海欧比特宇航科技股份有限公司回购专用证券账户,这是一个基金产品
210496,龙盈腾飞1号私募证券投资基金,这是一个基金产品
210497,申万菱信乐同混合型证券投资基金,这是一个基金产品
210498,润泽2号私募基金,这是一个基金产品
210499,GK SECURITIES PTE.LTD.,这是一个基金产品
210500,THEFLEMINGCHINESEINV TSTPLC,这是一个基金产品
210501,北京致顺投资管理有限公司泓顺旗舰私募证券投资基金,这是一个基金产品
210502,渤海信托·恒利丰222号集合资金信托计划,这是一个基金产品
210503,重庆望变电气(集团)股份有限公司回购专用证券账户,这是一个基金产品
210504,枫池优享1号私募证券投资基金,这是一个基金产品
210505,中邮战略新兴产业混合型证券投资基金,这是一个基金产品
210506,重庆国际信托有限公司——润丰伍号证券投资集合资金信托计划,这是一个基金产品
210507,博时基金一招商银行一博时基金鑫诚2号集合资产管理计划,这是一个基金产品
210508,嘉实泰和混合型证券投资基金,这是一个基金产品
210509,呈瑞正乾36号私募证券投资基金,这是一个基金产品
210510,融金27号资金信托合同,这是一个基金产品
210511,雷根聚鑫华弘会私募证券投资基金,这是一个基金产品
210512,陕国投·金玉193号证券投资集合资金信托计划,这是一个基金产品
210513,中科沃土合纵优选1号单一资产管理计划,这是一个基金产品
210514,＂东风1号＂集合资产管理计划,这是一个基金产品
210515,黄山建通定增1号资产管理计划,这是一个基金产品
210516,银万全盈29号私募证券投资基金,这是一个基金产品
210517,国弘纪元,这是一个基金产品
210518,芝麻多策略一号私募基金,这是一个基金产品
210519,百川能源股份有限公司回购专用证券账户,这是一个基金产品
210520,上海丽人丽妆化妆品股份有限公司未确认持有人证券专用账户,这是一个基金产品
210521,中国工商银行—华安中小盘成长股票型证券投资基金,这是一个基金产品
210522,云锦天成2号集合资金信托计划,这是一个基金产品
210523,中航机遇领航混合型发起式证券投资基金,这是一个基金产品
210524,江信基金定增17号资产管理计划,这是一个基金产品
210525,银河金汇聚汇29号单一资产管理计划,这是一个基金产品
210526,灵活配置分级7号资产管理计划,这是一个基金产品
210527,盛景31号单一资金信托,这是一个基金产品
210528,"JPMORGANCHASE BANK,NATIONALASSOCIATION",这是一个基金产品
210529,长安尊远1号资产管理计划,这是一个基金产品
210530,太平资产太平之星106号资管产品,这是一个基金产品
210531,民生证券力诺特玻战略配售1号集合资产管理计划,这是一个基金产品
210532,明达3期,这是一个基金产品
210533,乐信盈鑫私募证券投资基金,这是一个基金产品
210534,“华宝丰进”32号单一资金信托,这是一个基金产品
210535,兴益万能2号,这是一个基金产品
210536,常春藤二期结构化证券投资集合资金信托计划,这是一个基金产品
210537,浙商智选领航三年持有期混合型证券投资基金,这是一个基金产品
210538,润远鑫价值私募证券投资基金,这是一个基金产品
210539,盛世景定增基金权益投资集合资金信托计划,这是一个基金产品
210540,世嘉一号私募基金,这是一个基金产品
210541,上海厚葳私募基金管理合伙企业(有限合伙)—厚葳远望价值1号私募证券投资基金,这是一个基金产品
210542,PIPE2020保险资产管理产品,这是一个基金产品
210543,金善银金沙私募证券投资基金,这是一个基金产品
210544,瀚信成长6期,这是一个基金产品
210545,结构化新股投资结合信托7,这是一个基金产品
210546,申万菱信动力增长1号集合资产管理计划,这是一个基金产品
210547,钜沣量化对冲一号证券投资基金,这是一个基金产品
210548,华能信托·晨盈集合资金信托计划,这是一个基金产品
210549,华能信托·嘉会1号集合资金信托计划,这是一个基金产品
210550,汇添富社会责任混合型证券投资基金,这是一个基金产品
210551,泰润惠鑫1号私募证券投资基金,这是一个基金产品
210552,北信瑞丰基金丰庆69号资产管理计划,这是一个基金产品
210553,弘升5号证券投资单一资金信托,这是一个基金产品
210554,平顶山天安煤业股份有限公司回购专用证券账户,这是一个基金产品
210555,华安证券股份有限公司自营账户,这是一个基金产品
210556,申九全天候2号私募证券投资基金,这是一个基金产品
210557,华泰尊享稳进86号单一资产管理计划,这是一个基金产品
210558,信城四季红混合型证券投资基金,这是一个基金产品
210559,章泓精选1号私募证券投资基金,这是一个基金产品
210560,建信潜力新蓝筹股票型证券投资基金,这是一个基金产品
210561,德贝璟选二号私募证券投资基金,这是一个基金产品
210562,中融增强57号,这是一个基金产品
210563,融金36号资金信托合同,这是一个基金产品
210564,浦发共赢1号集合资金信托计划,这是一个基金产品
210565,"JPMORGANCHASEBANK,NATIONALASS0CIATION",这是一个基金产品
210566,通怡景云5号私募证券投资基金,这是一个基金产品
210567,中信·宁聚量化对冲1期管理型金融投资集合资金信托计划,这是一个基金产品
210568,万联证券有限责任公司转融通担保证券明细账户,这是一个基金产品
210569,卢教基金,这是一个基金产品
210570,爱建信托致成1号定向增发事务管理类单一资金信托,这是一个基金产品
210571,兴国1号集合资金信托计划,这是一个基金产品
210572,太平之星64号资管产品,这是一个基金产品
210573,长安达信财富1号分级资产管理计划,这是一个基金产品
210574,富国核心优势混合型发起式证券投资基金,这是一个基金产品
210575,大成基金,这是一个基金产品
210576,创金合信—招商银行—恒泰华盛1号资产管理计划,这是一个基金产品
210577," JPMORGAN CHASE BANK, NATIONAL ASS0CIATION",这是一个基金产品
210578,长城汇理战略并购9号私募基金,这是一个基金产品
210579,招商国证生物医药指数分级证券投资基金,这是一个基金产品
210580,宝盈慧升7号特定多客户资产管理计划,这是一个基金产品
210581,共赢3号基金,这是一个基金产品
210582,中信保诚创新成长灵活配置混合型证券投资基金,这是一个基金产品
210583,工银瑞信核心价值股票证券投资基金,这是一个基金产品
210584,首信钧誉5号私募证券投资基金,这是一个基金产品
210585,禾晟源景峰五号私募证券投资基金,这是一个基金产品
210586,中国银行_同盛证券投资基金,这是一个基金产品
210587,中汇金玖锐信定增2期私募股权投资基金,这是一个基金产品
210588,CLIENTS A/C,这是一个基金产品
210589,廖哲宏专户,这是一个基金产品
210590,深圳市科学技术发展基金,这是一个基金产品
210591,前海开源安华2号资产管理计划,这是一个基金产品
210592,财智聚2020私募证券投资基金,这是一个基金产品
210593,大成蓝筹稳键证券投资基金,这是一个基金产品
210594,粤财信托·弘盛11号单一资金信托计划,这是一个基金产品
210595,南京证券股份有限公司客户信用交易担保证券账户,这是一个基金产品
210596,前海大宇2号基金,这是一个基金产品
210597,中证上海国企交易型开放式指数证券投资基金,这是一个基金产品
210598,博颐精选2期证券投资集合资金信托计划,这是一个基金产品
210599,景顺长城景颐招利6个月持有期债券型证券投资基金,这是一个基金产品
210600,中国建设银行—宝康消费品证券投资基金,这是一个基金产品
210601,聚隆定增1号私募证券投资基金,这是一个基金产品
210602,恒盈1号私募证券投资基金,这是一个基金产品
210603,克明面业1号员工持股集合资金信托,这是一个基金产品
210604,招商银行股份有限公司—上证红利交易型开放式指数证券投资基金,这是一个基金产品
210605,2013年恒丰盈富股票投资单一资金信托,这是一个基金产品
210606,单一类资金信托2006 年第8号,这是一个基金产品
210607,盛泉恒元量化套利17号私募证券投资基金,这是一个基金产品
210608,太平丰和一年定期开放债券型发起式证券投资基金,这是一个基金产品
210609,厦门信托鑫金一号信托计划,这是一个基金产品
210610,湖南省机场管理集团有限公司企业年金计划,这是一个基金产品
210611,易方达蓝筹精选混合型证券投资基金,这是一个基金产品
